class,text
Neutral,@brady I am surprised @apple did not think of/anticipate that......
Neg,@apple #siri can't connect to the network -- it's LESS useful that VoiceControl now... :(
Neutral,RT @MyMelange: Wall to wall people security and a huge line outside just to get in the @Apple store.  http://t.co/i1khkgJm
Neg,9% now on my second full charge of the day. Pissed @Apple
Neutral,RT @hofmania: I just paid someone to wait in line at the @apple store this morning for me on @zaarly #putapriceonconvenience #iphone htt ...
Pos,Video card on @Kimaris workstation died after just six months. So long @hp. Hello @apple.
Pos,@apple loving the new IOS5 upgrade for the iPhone!
Neutral,#Win an @Apple iPod Touch from @Mommy_gaga get the @Pampers Hello World Baby Memories App! http://t.co/YUydxo1t #PampersHelloApps
Neutral,@apple store #Towson waiting at Genius bar - huge crowd waiting for #iPhone 4s @michaelmark @nicolelil http://t.co/x92sweCh
Pos,dammit listening to siri is making me want to upgrade. well played @apple.
Neutral,#Iphone5 can you please make The battery last longer thanks @Apple
Neutral,Found out the hard way today that @webex does not work with @apple ios5 yet when you are following a link for a meeting..
Pos,So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.
Neg,@apple why isn't my iTunes updating? I just wanna update my iPhone to IOS5!!! Then iTunes says that it needs to update to do it. Then fails!
Neutral,Check this video out -- moe. plays Live on iPads. Video dedicated in memory of #SteveJobs http://t.co/XSiyDnqu @ipad @mac @apple #brilliant
Pos,I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out
Neg,Now @apple won't let me use credit on @iTunes unless I have a credit card. Should have told me when I redeemed the cards. Sound fair to you?
Neg,I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN
Neutral,@apple @appstore @mac @iOs @Ipad @siri Will siri be available for iPad 2?
Neutral,Bah! Genius BAR // RT @edatpost: .@Apple fan Eric Holder spotted at the Genius Store http://t.co/FTLttLPn
Neg,Why book @Apple Genius Bar if after 2.5 hours you still can't be served. Disappointing Apple Store Sydney. #thanksfornothing
Neutral,@notleifgarrett @apple wished their on hold music played Pictures of You.
Pos,@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed
Neutral,got the new @apple update
